Outcome,Board of Health,Building and Zoning Services,CelebrateOne,City Attorney,City Auditor,City Council,Civil Service,Civil Service Commission,Development,Diversity and Inclusion,Finance and Management,Health,Human Resources,Inspector General,Office of the Mayor,Neighborhoods,Public Safety,Public Service,Public Utilities,Recreation and Parks,Recreation and Parks Commission,Technology,Treasurer's Office,Violence Prevention
Outcome,(n = 6),(n = 135),(n = 7),(n = 44),(n = 44),(n = 12),(n = 15),(n = 22),(n = 65),(n = 7),(n = 111),(n = 340),(n = 46),(n = 11),(n = 15),(n = 47),(n = 329),(n = 311),(n = 435),(n = 189),(n = 6),(n = 64),(n = 2),(n = 22)
Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions),Sense of Belonging (Additional Questions)
"I believe employees are treated fairly, regardless of differences (e.g., race, gender, ability).",3.67,3.79,4.14,4.00,4.11,3.33,3.93,3.50,3.52,3.14,3.16,3.90,4.04,3.91,4.20,4.11,3.08,3.78,3.41,3.44,3.33,3.53,4.50,4.00
I feel like I belong at City of Columbus.,3.67,4.09,4.57,4.09,4.14,3.92,3.87,3.95,3.80,3.57,3.92,4.12,4.41,4.45,4.40,4.26,3.53,4.11,3.80,3.83,4.17,3.69,3.50,4.00
I feel connected as an employee to City of Columbus.,3.17,3.89,4.29,3.98,3.89,3.92,4.07,3.82,3.52,3.71,3.64,3.99,4.26,4.27,4.40,4.15,3.19,3.90,3.58,3.63,3.67,3.44,3.50,3.86
I feel comfortable with being myself when I am at work.,4.17,3.92,3.86,4.27,4.11,4.08,4.07,3.77,3.80,3.86,3.85,4.11,4.11,4.55,4.40,4.28,3.66,4.00,3.84,4.03,3.83,3.81,4.50,4.00
I can be successful as my authentic self at City of Columbus.,3.50,3.84,4.29,4.18,4.00,4.08,4.00,3.68,3.78,3.71,3.74,4.04,4.11,4.09,4.33,4.02,3.52,3.96,3.77,3.92,3.83,3.69,4.00,4.00
I feel accepted by others as an employee at City of Columbus.,3.83,4.03,4.00,4.32,4.25,4.17,4.07,3.95,4.03,3.86,3.94,4.15,4.33,4.36,4.27,4.19,3.68,4.08,3.93,3.98,4.17,3.76,4.50,4.09
Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions),Benefits Compensation (Additional Questions)
