Outcome,Building and Zoning Services,CelebrateOne,Civil Service,Columbus Public Health,Development,Diversity and Inclusion,Finance and Management,Human Resources,Inspector General,Mayor's Office,Neighborhoods,Public Safety,Public Service,Public Utilities,Recreation and Parks,Technology,Violence Prevention,City Attorney,City Auditor,City Council
Outcome,(n = 135),(n = 7),(n = 37),(n = 346),(n = 65),(n = 7),(n = 111),(n = 46),(n = 11),(n = 15),(n = 47),(n = 329),(n = 311),(n = 435),(n = 195),(n = 64),(n = 22),(n=44),(n=44),(n=14)
Overall,3.86,3.82,3.74,3.99,3.63,3.71,3.65,4.19,4.03,4.11,3.94,3.51,3.94,3.72,3.69,3.5,3.95,4.05,4,3.96
Training,4.21,3.54,4.07,4.24,3.94,4.07,3.89,4.42,4.32,4.13,4.01,3.83,4.11,4.01,3.9,3.75,4.1,4.2,4.19,4.04
Supervisor Clarity/ Communication,4.31,4.14,4,4.23,4.07,3.98,3.91,4.59,4.24,4.3,4.12,3.87,4.25,3.99,3.98,3.87,4.07,4.24,4.35,4.08
Communication with Upper Management,3.53,3.48,3.46,3.67,3.32,3.43,3.19,4,3.55,4.2,3.8,2.74,3.67,3.3,3.27,3,3.86,3.91,3.53,3.38
Task Significance,4.25,4.52,4.35,4.41,4.26,4.19,4.21,4.55,4.48,4.53,4.36,4.14,4.33,4.27,4.23,4.05,4.23,4.37,4.29,4.55
Autonomy,4.07,4.07,4.01,4.08,3.7,4.07,4.01,4.28,4.27,4.3,4.04,3.71,4.1,3.89,3.93,3.59,3.95,4.33,4.09,3.96
Feedback/Recognition,3.63,3.54,3.42,3.88,3.64,3.71,3.52,4.18,4.13,3.79,3.68,3.23,3.8,3.57,3.49,3.47,3.88,3.82,3.94,3.96
Policies,3.67,4,3.49,3.92,3.12,3.86,3.32,3.98,4.2,4,3.81,3.21,3.7,3.38,3.53,3.14,3.86,3.98,3.84,3.57
Innovation,2.97,2.86,3.01,3.05,2.62,3,2.78,3.25,2.86,3.53,3.2,2.44,3.09,2.75,2.95,2.52,3.3,3.28,3.27,2.89
Satisfaction with my Coworkers/ Department Culture,3.67,3.76,3.71,3.94,3.37,3.35,3.44,4.2,3.95,4.05,3.96,3.59,3.85,3.6,3.57,3.42,3.91,3.99,3.96,4.01
Inter-Department Communication,3.15,3.43,2.93,3.32,2.65,2.79,2.73,3.03,3.32,3.47,3.41,2.62,3.17,2.97,2.96,2.47,3.59,3.36,3.07,2.93
Satisfaction with the Job Itself,4.1,4.09,3.97,4.22,3.88,3.86,4.08,4.31,4.11,4.37,4.2,3.82,4.18,4.01,3.99,3.73,4.16,4.19,4.05,4.34
Work-life Balance,3.9,4.14,3.59,4.06,3.72,4,3.87,3.93,4.27,4.27,4.02,3.59,4.14,3.95,3.81,3.98,3.86,4.36,4.23,4.21
