Outcome,Board of Health,Building and Zoning Services,CelebrateOne,City Attorney,City Auditor,City Council,Civil Service,Civil Service Commission,Development,Diversity and Inclusion,Finance and Management,Health,Human Resources,Inspector General,Office of the Mayor,Neighborhoods,Public Safety,Public Service,Public Utilities,Recreation and Parks,Recreation and Parks Commission,Technology,Treasurer's Office,Violence Prevention
Outcome,(n = 6),(n = 135),(n = 7),(n = 44),(n = 44),(n = 12),(n = 15),(n = 22),(n = 65),(n = 7),(n = 111),(n = 340),(n = 46),(n = 11),(n = 15),(n = 47),(n = 329),(n = 311),(n = 435),(n = 189),(n = 6),(n = 64),(n = 2),(n = 22)
Scale Score,3.60,3.67,3.76,3.99,3.96,3.93,3.77,3.66,3.37,3.35,3.44,3.95,4.20,3.95,4.05,3.96,3.59,3.85,3.60,3.55,4.10,3.42,4.50,3.91
"Within my department, employees with similar work functions share information about their work and practices.",4.17,3.84,4.00,3.95,4.23,4.25,3.67,3.86,3.49,3.29,3.63,3.98,4.11,4.27,4.00,4.15,3.82,3.98,3.79,3.80,4.17,3.50,4.50,4.09
Employees in my department share responsibility for the success or failure of our services.,3.67,3.78,4.29,3.95,3.98,3.75,3.80,4.05,3.28,3.14,3.35,3.93,4.07,4.09,4.13,3.81,3.73,3.80,3.66,3.60,4.33,3.58,4.50,3.95
Employees in my department take pride in their work.,4.67,3.85,3.71,4.09,4.09,4.17,3.80,4.27,3.88,4.00,3.65,4.31,4.44,4.64,4.53,4.34,4.08,4.00,3.94,3.95,4.33,3.81,4.50,4.14
The distribution of work among the employees in my department is well balanced.,2.67,3.62,4.14,3.75,3.91,3.83,3.47,3.05,2.74,3.43,3.20,3.73,3.87,3.73,3.60,3.62,3.26,3.57,3.35,3.20,4.17,3.11,4.50,3.73
[Satisfaction] The professionalism of the people with whom you work in your department?,3.50,3.82,3.71,4.20,4.09,3.75,3.93,3.91,3.77,3.43,3.68,3.97,4.42,4.18,4.27,4.13,3.75,4.07,3.76,3.66,4.33,3.69,4.50,3.82
[Satisfaction] The team spirit in your department?,3.33,3.40,3.00,4.07,3.70,3.92,3.73,3.27,3.25,3.14,3.25,3.93,4.36,3.55,3.87,3.91,3.32,3.77,3.40,3.36,4.00,3.09,4.50,3.77
[Satisfaction] The morale of the people with whom you work?,3.17,3.39,3.43,3.89,3.75,3.83,4.00,3.23,3.17,3.00,3.30,3.79,4.27,3.18,3.93,3.79,3.16,3.72,3.32,3.29,3.33,3.13,4.50,3.86
