Outcome,Board of Health,Building and Zoning Services,CelebrateOne,City Attorney,City Auditor,City Council,Civil Service,Civil Service Commission,Development,Diversity and Inclusion,Finance and Management,Health,Human Resources,Inspector General,Office of the Mayor,Neighborhoods,Public Safety,Public Service,Public Utilities,Recreation and Parks,Recreation and Parks Commission,Technology,Treasurer's Office,Violence Prevention
Outcome,(n = 6),(n = 135),(n = 7),(n = 44),(n = 44),(n = 12),(n = 15),(n = 22),(n = 65),(n = 7),(n = 111),(n = 340),(n = 46),(n = 11),(n = 15),(n = 47),(n = 329),(n = 311),(n = 435),(n = 189),(n = 6),(n = 64),(n = 2),(n = 22)
Overall,3.68,3.88,3.82,4.05,4.00,3.90,3.82,3.72,3.66,3.73,3.67,4.01,4.22,4.04,4.13,3.96,3.53,3.96,3.74,3.70,4.20,3.53,4.33,3.96
Training,3.42,4.21,3.54,4.20,4.19,4.04,3.93,4.17,3.94,4.07,3.89,4.26,4.42,4.32,4.13,4.01,3.83,4.11,4.01,3.89,4.25,3.75,4.00,4.10
Supervisor Clarity/ Communication,4.00,4.31,4.14,4.24,4.35,4.04,4.10,3.92,4.07,3.98,3.91,4.23,4.59,4.24,4.30,4.12,3.87,4.25,3.99,3.96,4.44,3.87,4.33,4.07
Communication with Upper Management,2.83,3.53,3.48,3.91,3.53,3.33,3.51,3.42,3.32,3.43,3.19,3.68,4.00,3.55,4.20,3.80,2.74,3.67,3.30,3.24,4.06,3.00,3.67,3.86
Task Significance,4.44,4.25,4.52,4.37,4.29,4.53,4.09,4.53,4.26,4.19,4.21,4.41,4.55,4.48,4.53,4.36,4.14,4.33,4.27,4.23,4.33,4.05,4.67,4.23
Autonomy,4.08,4.07,4.07,4.33,4.09,3.88,4.07,3.98,3.70,4.07,4.01,4.08,4.28,4.27,4.30,4.04,3.71,4.10,3.89,3.91,4.50,3.59,4.50,3.95
Feedback/Recognition,3.83,3.63,3.54,3.82,3.94,3.87,3.55,3.33,3.64,3.71,3.52,3.88,4.18,4.13,3.79,3.68,3.23,3.80,3.57,3.47,4.30,3.47,4.50,3.88
Policies,3.50,3.67,4.00,3.98,3.84,3.42,3.53,3.45,3.12,3.86,3.32,3.93,3.98,4.20,4.00,3.81,3.21,3.70,3.38,3.52,3.83,3.14,4.50,3.86
Innovation,2.58,2.97,2.86,3.28,3.27,2.71,3.43,2.73,2.62,3.00,2.78,3.06,3.25,2.86,3.53,3.20,2.44,3.09,2.75,2.94,3.50,2.52,4.00,3.30
Satisfaction with my Coworkers/ Department Culture,3.60,3.67,3.76,3.99,3.96,3.93,3.77,3.66,3.37,3.35,3.44,3.95,4.20,3.95,4.05,3.96,3.59,3.85,3.60,3.55,4.10,3.42,4.50,3.91
Inter-Department Communication,3.17,3.20,3.29,3.36,3.07,2.83,3.20,2.64,2.78,2.83,2.78,3.39,3.04,3.36,3.40,3.55,2.78,3.19,3.03,3.01,3.83,2.56,3.50,3.55
Satisfaction with the Job Itself,3.90,4.10,4.09,4.19,4.05,4.32,4.03,3.93,3.88,3.86,4.08,4.23,4.31,4.11,4.37,4.20,3.82,4.18,4.01,3.99,4.17,3.73,4.50,4.16
Work-life Balance,3.83,3.90,4.14,4.36,4.23,4.17,3.73,3.50,3.72,4.00,3.87,4.06,3.93,4.27,4.27,4.02,3.59,4.14,3.95,3.79,4.50,3.98,4.50,3.86
