Metric,Department,Score,RankType
Inter-Department Communication,Board of Health,3.17,Bottom 3
Communication with Upper Management,Board of Health,2.83,Bottom 3
Innovation,Board of Health,2.58,Bottom 3
Task Significance,Board of Health,4.44,Top 3
Autonomy,Board of Health,4.08,Top 3
Supervisor Clarity/ Communication,Board of Health,4.0,Top 3
Communication with Upper Management,Building and Zoning Services,3.53,Bottom 3
Inter-Department Communication,Building and Zoning Services,3.2,Bottom 3
Innovation,Building and Zoning Services,2.97,Bottom 3
Supervisor Clarity/ Communication,Building and Zoning Services,4.31,Top 3
Task Significance,Building and Zoning Services,4.25,Top 3
Training,Building and Zoning Services,4.21,Top 3
Communication with Upper Management,CelebrateOne,3.48,Bottom 3
Inter-Department Communication,CelebrateOne,3.29,Bottom 3
Innovation,CelebrateOne,2.86,Bottom 3
Task Significance,CelebrateOne,4.52,Top 3
Supervisor Clarity/ Communication,CelebrateOne,4.14,Top 3
Work-life Balance,CelebrateOne,4.14,Top 3
Feedback/Recognition,City Attorney,3.82,Bottom 3
Inter-Department Communication,City Attorney,3.36,Bottom 3
Innovation,City Attorney,3.28,Bottom 3
Task Significance,City Attorney,4.37,Top 3
Work-life Balance,City Attorney,4.36,Top 3
Autonomy,City Attorney,4.33,Top 3
Communication with Upper Management,City Auditor,3.53,Bottom 3
Innovation,City Auditor,3.27,Bottom 3
Inter-Department Communication,City Auditor,3.07,Bottom 3
Supervisor Clarity/ Communication,City Auditor,4.35,Top 3
Task Significance,City Auditor,4.29,Top 3
Work-life Balance,City Auditor,4.23,Top 3
Communication with Upper Management,City Council,3.33,Bottom 3
Inter-Department Communication,City Council,2.83,Bottom 3
Innovation,City Council,2.71,Bottom 3
Task Significance,City Council,4.53,Top 3
Satisfaction with the Job Itself,City Council,4.32,Top 3
Work-life Balance,City Council,4.17,Top 3
Communication with Upper Management,Civil Service,3.51,Bottom 3
Innovation,Civil Service,3.43,Bottom 3
Inter-Department Communication,Civil Service,3.2,Bottom 3
Supervisor Clarity/ Communication,Civil Service,4.1,Top 3
Task Significance,Civil Service,4.09,Top 3
Autonomy,Civil Service,4.07,Top 3
Feedback/Recognition,Civil Service Commission,3.33,Bottom 3
Innovation,Civil Service Commission,2.73,Bottom 3
Inter-Department Communication,Civil Service Commission,2.64,Bottom 3
Task Significance,Civil Service Commission,4.53,Top 3
Training,Civil Service Commission,4.17,Top 3
Autonomy,Civil Service Commission,3.98,Top 3
Policies,Development,3.12,Bottom 3
