Group,Metric,Score,RankType
Elected Officials,Communication with Upper Management,3.61,Bottom 3
Elected Officials,Innovation,3.315,Bottom 3
Elected Officials,Inter-Department Communication,3.19,Bottom 3
Elected Officials,Task Significance,4.465,Top 3
Elected Officials,Work-life Balance,4.315,Top 3
Elected Officials,Satisfaction with the Job Itself,4.265000000000001,Top 3
Mayor’s Office,Communication with Upper Management,3.4905,Bottom 3
Mayor’s Office,Inter-Department Communication,3.129,Bottom 3
Mayor’s Office,Innovation,2.9705,Bottom 3
Mayor’s Office,Task Significance,4.32,Top 3
Mayor’s Office,Supervisor Clarity/ Communication,4.118,Top 3
Mayor’s Office,Satisfaction with the Job Itself,4.0575,Top 3
